district_id,district,school_id,school,grade,scheduled_start,actual_start,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,survey_date
610,Berrien County,101,Berrien High School,09-12 ,8/13/2020,8/13/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,7/20/2021 12:55
610,Berrien County,106,Berrien Academy Performance Learning Center,09-12 ,8/13/2020,8/13/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,7/20/2021 12:55
610,Berrien County,194,Berrien Middle School,06-08 ,8/13/2020,8/13/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,7/20/2021 12:55
610,Berrien County,195,Berrien Elementary School,03-05 ,8/13/2020,8/13/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,7/20/2021 12:55
610,Berrien County,5050,Berrien Primary School,PK-02 ,8/13/2020,8/13/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,7/20/2021 12:55
611,Bibb County,103,Skyview Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,104,Burdell Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,105,Howard High School,09-12 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,108,Ballard Hudson Middle School,06-08 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,109,Bruce Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,186,Central High School,09-12 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,198,Westside High School,09-12 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,203,Vineville Academy,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,204,Rutland High School,09-12 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,205,Howard Middle School,06-08 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,286,Northeast High School,09-12 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,298,Miller Magnet Middle School,06-08 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,305,Rutland Middle School,06-08 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
